gyroX, 159.67, gyroY, 151.79, gyroZ, 212.40, accX, 0.55, accY, -1.18, accZ, -0.50, Pitch, -4.63, Roll, -118.53, Yaw, -59.58
gyroX, 88.01, gyroY, 376.53, gyroZ, 239.56, accX, 0.60, accY, -0.91, accZ, -0.59, Pitch, 22.50, Roll, -122.59, Yaw, 79.67
gyroX, -62.26, gyroY, 38.39, gyroZ, 214.17, accX, 0.47, accY, -0.69, accZ, -0.87, Pitch, 20.26, Roll, -160.28, Yaw, 0.34
gyroX, 23.86, gyroY, -154.24, gyroZ, 208.98, accX, 0.23, accY, -0.70, accZ, -0.36, Pitch, 50.96, Roll, 119.67, Yaw, -118.42
gyroX, 140.08, gyroY, -135.25, gyroZ, 141.48, accX, 0.11, accY, -1.09, accZ, 0.12, Pitch, 25.56, Roll, 138.98, Yaw, 136.46
gyroX, 273.68, gyroY, 373.66, gyroZ, 156.68, accX, -0.21, accY, -1.29, accZ, -0.08, Pitch, -31.16, Roll, -75.55, Yaw, 55.97
gyroX, 312.44, gyroY, 665.77, gyroZ, 385.31, accX, 0.58, accY, -1.12, accZ, -0.38, Pitch, -25.32, Roll, -123.01, Yaw, 101.54
gyroX, 189.82, gyroY, 614.81, gyroZ, 405.88, accX, 1.20, accY, -1.89, accZ, -0.13, Pitch, -18.05, Roll, -124.61, Yaw, 103.52
gyroX, 110.23, gyroY, 387.76, gyroZ, 363.53, accX, 1.23, accY, -2.17, accZ, -0.68, Pitch, 42.81, Roll, -127.33, Yaw, -62.97
gyroX, 58.72, gyroY, 219.48, gyroZ, 273.19, accX, 0.35, accY, -1.33, accZ, -0.46, Pitch, 2.67, Roll, -129.39, Yaw, 98.37
gyroX, -17.82, gyroY, 203.80, gyroZ, 290.41, accX, 0.19, accY, -1.54, accZ, -0.44, Pitch, 16.43, Roll, -153.39, Yaw, -38.63
gyroX, -45.17, gyroY, 111.63, gyroZ, 298.65, accX, -0.01, accY, -1.53, accZ, -0.49, Pitch, -8.02, Roll, -160.95, Yaw, -167.08
gyroX, -15.20, gyroY, -92.22, gyroZ, 317.75, accX, 0.14, accY, -1.58, accZ, -0.29, Pitch, 41.16, Roll, 179.22, Yaw, 101.99
gyroX, 65.00, gyroY, 108.83, gyroZ, 332.03, accX, 0.44, accY, -1.48, accZ, -0.37, Pitch, -19.94, Roll, -153.63, Yaw, -60.05
gyroX, 83.86, gyroY, 103.70, gyroZ, 302.67, accX, 0.20, accY, -1.21, accZ, -0.23, Pitch, 39.08, Roll, -133.29, Yaw, 154.47
gyroX, 140.32, gyroY, 196.90, gyroZ, 341.06, accX, 0.08, accY, -0.87, accZ, -0.34, Pitch, 3.96, Roll, -157.07, Yaw, -52.30
gyroX, 195.56, gyroY, 259.22, gyroZ, 344.73, accX, 0.23, accY, -1.08, accZ, -0.47, Pitch, 30.79, Roll, -113.21, Yaw, -184.23
