gyroX, 11.05, gyroY, -572.69, gyroZ, 154.66, accX, -0.30, accY, -0.27, accZ, 0.67, Pitch, -3.03, Roll, 16.51, Yaw, 42.07
gyroX, 105.16, gyroY, 87.10, gyroZ, 16.11, accX, 0.66, accY, -0.61, accZ, 0.45, Pitch, -77.95, Roll, 22.78, Yaw, 25.76
gyroX, 263.31, gyroY, 847.90, gyroZ, 6.90, accX, 0.37, accY, -0.39, accZ, 0.26, Pitch, -54.39, Roll, -9.86, Yaw, 69.72
gyroX, 166.08, gyroY, 379.82, gyroZ, -12.39, accX, 0.22, accY, 0.04, accZ, 0.42, Pitch, 38.92, Roll, 152.06, Yaw, -164.25
gyroX, 41.32, gyroY, 141.97, gyroZ, -2.32, accX, 0.40, accY, -0.46, accZ, 0.90, Pitch, -14.08, Roll, -163.43, Yaw, -158.52
gyroX, -273.13, gyroY, -40.77, gyroZ, -69.27, accX, 0.66, accY, -2.92, accZ, 2.30, Pitch, -28.86, Roll, 129.78, Yaw, -146.92
gyroX, 87.89, gyroY, -249.51, gyroZ, -31.31, accX, 1.25, accY, -2.35, accZ, 1.06, Pitch, -23.75, Roll, 123.08, Yaw, 165.44
gyroX, -128.72, gyroY, -442.69, gyroZ, 13.31, accX, 0.36, accY, -2.15, accZ, 0.15, Pitch, 24.52, Roll, 65.21, Yaw, 7.51
gyroX, -90.70, gyroY, -471.56, gyroZ, -93.75, accX, -0.71, accY, -1.81, accZ, 0.12, Pitch, -45.42, Roll, 132.65, Yaw, 128.02
gyroX, -133.73, gyroY, -112.12, gyroZ, -50.29, accX, -0.09, accY, -0.87, accZ, -2.19, Pitch, -13.48, Roll, -6.40, Yaw, -41.52
gyroX, -89.23, gyroY, 300.84, gyroZ, -46.26, accX, -0.30, accY, 0.11, accZ, 0.27, Pitch, -61.19, Roll, 145.09, Yaw, -187.24
gyroX, -42.97, gyroY, -362.55, gyroZ, -194.82, accX, -0.56, accY, -0.28, accZ, 0.54, Pitch, -40.11, Roll, -24.09, Yaw, -2.31
gyroX, -37.48, gyroY, -454.10, gyroZ, -111.82, accX, -0.14, accY, 0.01, accZ, 0.36, Pitch, 37.14, Roll, -12.79, Yaw, -10.23
gyroX, 32.84, gyroY, -349.00, gyroZ, -100.04, accX, -0.24, accY, -0.17, accZ, 0.17, Pitch, -50.94, Roll, 175.56, Yaw, 164.11
gyroX, -15.20, gyroY, -185.30, gyroZ, -344.06, accX, -2.51, accY, -4.14, accZ, -0.02, Pitch, 23.64, Roll, -94.79, Yaw, -75.21
