gyroX, -17.88, gyroY, 2.81, gyroZ, 2.32, accX, -0.11, accY, -0.97, accZ, -0.07, Pitch, 8.27, Roll, -110.58, Yaw, 8.42
gyroX, -21.06, gyroY, 0.73, gyroZ, 2.38, accX, -0.11, accY, -0.98, accZ, -0.08, Pitch, 8.54, Roll, -112.24, Yaw, 8.30
gyroX, -21.67, gyroY, -0.55, gyroZ, 2.26, accX, -0.11, accY, -1.01, accZ, -0.06, Pitch, 8.81, Roll, -113.58, Yaw, 9.58
gyroX, -22.89, gyroY, -7.69, gyroZ, 2.69, accX, -0.10, accY, -1.00, accZ, -0.06, Pitch, 9.40, Roll, -114.86, Yaw, 12.87
gyroX, -21.12, gyroY, -18.62, gyroZ, 1.34, accX, -0.11, accY, -0.95, accZ, -0.08, Pitch, 11.00, Roll, -114.21, Yaw, 18.40
gyroX, -20.02, gyroY, -21.67, gyroZ, 1.16, accX, -0.12, accY, -1.01, accZ, -0.12, Pitch, 12.78, Roll, -113.71, Yaw, 26.21
gyroX, -20.57, gyroY, -14.59, gyroZ, 3.85, accX, -0.14, accY, -1.03, accZ, -0.13, Pitch, 14.46, Roll, -114.31, Yaw, 34.92
gyroX, -20.69, gyroY, -23.68, gyroZ, 5.19, accX, -0.13, accY, -0.95, accZ, -0.12, Pitch, 16.85, Roll, -113.55, Yaw, 43.46
gyroX, -20.02, gyroY, -20.81, gyroZ, 5.00, accX, -0.15, accY, -0.96, accZ, -0.06, Pitch, 19.26, Roll, -112.22, Yaw, 56.32
gyroX, -19.17, gyroY, -25.09, gyroZ, 3.78, accX, -0.15, accY, -0.90, accZ, -0.08, Pitch, 20.28, Roll, -110.52, Yaw, 64.87
gyroX, -20.39, gyroY, -27.28, gyroZ, 2.26, accX, -0.18, accY, -0.96, accZ, -0.13, Pitch, 21.32, Roll, -108.45, Yaw, 77.94
gyroX, -21.91, gyroY, 12.15, gyroZ, 7.39, accX, -0.17, accY, -0.98, accZ, -0.11, Pitch, 19.51, Roll, -111.58, Yaw, 78.56
gyroX, -21.18, gyroY, 4.27, gyroZ, 8.73, accX, -0.16, accY, -0.95, accZ, -0.09, Pitch, 18.32, Roll, -113.80, Yaw, 76.55
gyroX, -16.36, gyroY, 6.71, gyroZ, 8.30, accX, -0.12, accY, -0.97, accZ, -0.14, Pitch, 17.34, Roll, -114.32, Yaw, 77.54
gyroX, -12.57, gyroY, 25.70, gyroZ, 7.39, accX, -0.13, accY, -0.98, accZ, -0.11, Pitch, 11.23, Roll, -115.89, Yaw, 63.58
gyroX, -13.85, gyroY, 2.44, gyroZ, 4.76, accX, -0.16, accY, -0.96, accZ, -0.13, Pitch, 10.92, Roll, -114.40, Yaw, 61.03
gyroX, -17.33, gyroY, 11.05, gyroZ, 7.93, accX, -0.17, accY, -0.96, accZ, -0.13, Pitch, 12.30, Roll, -114.17, Yaw, 58.40
gyroX, -13.37, gyroY, 18.92, gyroZ, 8.61, accX, -0.11, accY, -0.98, accZ, -0.10, Pitch, 10.83, Roll, -114.84, Yaw, 51.19
gyroX, -5.00, gyroY, 29.97, gyroZ, 6.47, accX, -0.11, accY, -0.91, accZ, -0.15, Pitch, 7.70, Roll, -112.75, Yaw, 39.46
gyroX, -20.32, gyroY, 38.94, gyroZ, 5.13, accX, -0.15, accY, -0.98, accZ, -0.10, Pitch, 4.98, Roll, -114.01, Yaw, 28.52
gyroX, -13.43, gyroY, 12.82, gyroZ, 3.72, accX, -0.13, accY, -0.97, accZ, -0.06, Pitch, 3.88, Roll, -114.30, Yaw, 18.57
gyroX, -12.94, gyroY, 16.42, gyroZ, 2.38, accX, -0.13, accY, -0.95, accZ, -0.08, Pitch, 5.23, Roll, -111.18, Yaw, 13.94
gyroX, -13.79, gyroY, 31.07, gyroZ, 2.44, accX, -0.13, accY, -0.99, accZ, -0.10, Pitch, 3.26, Roll, -111.72, Yaw, 4.54
