gyroX, -192.14, gyroY, 274.17, gyroZ, -107.54, accX, -0.48, accY, -0.94, accZ, -0.09, Pitch, -19.81, Roll, -49.91, Yaw, 115.18
gyroX, -144.17, gyroY, 181.95, gyroZ, -32.53, accX, -0.71, accY, -1.03, accZ, 0.28, Pitch, -10.56, Roll, -97.99, Yaw, 50.13
gyroX, -81.67, gyroY, 87.71, gyroZ, -2.20, accX, -0.46, accY, -0.65, accZ, 0.48, Pitch, -11.23, Roll, -106.87, Yaw, 4.07
gyroX, -84.72, gyroY, 28.14, gyroZ, -9.64, accX, -0.23, accY, -0.59, accZ, 0.47, Pitch, -12.65, Roll, -118.39, Yaw, -14.32
gyroX, -87.71, gyroY, 12.94, gyroZ, 16.36, accX, -0.08, accY, -0.71, accZ, 0.45, Pitch, -9.04, Roll, -131.18, Yaw, -25.38
gyroX, -43.46, gyroY, -52.12, gyroZ, 17.15, accX, 0.04, accY, -1.04, accZ, 0.18, Pitch, 12.64, Roll, -124.12, Yaw, -15.40
gyroX, 71.41, gyroY, -376.40, gyroZ, 13.37, accX, 0.04, accY, -1.17, accZ, -0.14, Pitch, 12.40, Roll, -61.49, Yaw, 94.44
gyroX, -101.14, gyroY, 731.57, gyroZ, 52.73, accX, 0.67, accY, -0.02, accZ, -1.59, Pitch, -9.63, Roll, -68.16, Yaw, 116.43
gyroX, 40.89, gyroY, -78.80, gyroZ, 37.78, accX, 0.45, accY, -0.98, accZ, 0.04, Pitch, -14.00, Roll, -96.21, Yaw, -185.86
gyroX, 23.01, gyroY, -2.01, gyroZ, 38.82, accX, -0.92, accY, -1.00, accZ, 1.09, Pitch, 35.82, Roll, -32.01, Yaw, -77.04
gyroX, 25.88, gyroY, 155.40, gyroZ, 13.06, accX, -0.45, accY, -1.13, accZ, 0.29, Pitch, 0.73, Roll, -114.69, Yaw, 132.60
gyroX, -53.41, gyroY, -95.34, gyroZ, -11.66, accX, -0.16, accY, -1.27, accZ, -0.01, Pitch, 4.14, Roll, -119.76, Yaw, 130.67
gyroX, 26.18, gyroY, -447.33, gyroZ, 2.50, accX, -0.03, accY, -1.00, accZ, -0.16, Pitch, -18.88, Roll, -75.72, Yaw, -5.47
gyroX, 13.85, gyroY, -323.43, gyroZ, 4.03, accX, -0.08, accY, -0.74, accZ, -0.11, Pitch, 13.90, Roll, -91.59, Yaw, -163.05
gyroX, 42.72, gyroY, -139.47, gyroZ, 2.56, accX, -0.08, accY, -0.56, accZ, -0.10, Pitch, -1.59, Roll, -70.33, Yaw, -68.06
gyroX, 39.61, gyroY, -64.94, gyroZ, 6.71, accX, 0.01, accY, -0.85, accZ, -0.16, Pitch, -12.47, Roll, -59.63, Yaw, -15.04
